Ticker,Instrument_Type,First_Date,Last_Date,Calendar_Days,Days_Adjusted,Days_Unadjusted,Days_Both,Coverage_Ratio
SUNLIFEINS,Equity,2013-01-04,2026-12-01,5080,2994,2993,2993,0.5892
TAKAFULINS,Equity,2012-01-10,2026-12-01,5440,3124,3123,3123,0.5741
TALLUSPIN,Equity,2012-01-10,2026-12-01,5440,3021,3020,3020,0.5551
TAMIJTEX,Equity,2021-01-09,2026-12-01,2153,1077,1076,1076,0.4998
TB10Y0135,TreasuryBill,2025-05-02,2025-11-02,185,2,2,2,0.0108
TB10Y0234,TreasuryBill,2024-10-12,2026-06-01,598,21,21,21,0.0351
TB10Y0335,TreasuryBill,2025-05-05,2025-05-05,1,1,1,1,1.0
TB10Y0434,TreasuryBill,2024-01-12,2026-12-01,1055,24,24,24,0.0227
TB10Y0535,TreasuryBill,2025-02-12,2026-11-01,628,20,20,20,0.0318
TB10Y0634,TreasuryBill,2024-01-12,2026-04-01,811,16,16,16,0.0197
TB10Y0735,TreasuryBill,2025-03-12,2025-03-12,1,1,1,1,1.0
TB10Y0833,TreasuryBill,2025-07-09,2026-11-01,481,5,5,5,0.0104
TB10Y0932,TreasuryBill,2024-01-12,2025-06-23,529,9,9,9,0.017
TB15Y0339,TreasuryBill,2024-01-12,2025-11-19,678,10,10,10,0.0147
TB15Y0340,TreasuryBill,2025-01-06,2026-12-01,695,11,11,11,0.0158
TB15Y0535,TreasuryBill,2025-11-16,2025-11-16,1,1,1,1,1.0
TB15Y0637,TreasuryBill,2025-05-02,2025-07-24,84,2,2,2,0.0238
TB15Y0925,TreasuryBill,2024-12-12,2025-01-26,46,5,5,5,0.1087
TB15Y1025,TreasuryBill,2025-06-17,2025-06-19,3,2,2,2,0.6667
TB20Y0143,TreasuryBill,2025-03-12,2025-10-30,233,6,6,6,0.0258
TB20Y0545,TreasuryBill,2025-03-12,2025-12-28,292,12,12,12,0.0411
TB20Y0640,TreasuryBill,2025-07-13,2026-01-14,186,5,5,5,0.0269
TB20Y0744,TreasuryBill,2024-01-12,2026-01-19,739,44,44,44,0.0595
TB20Y1242,TreasuryBill,2025-03-27,2025-12-30,279,12,12,12,0.043
TB2Y0126,TreasuryBill,2024-03-12,2025-12-10,639,16,16,16,0.025
TB2Y0127,TreasuryBill,2025-06-08,2026-01-13,220,6,6,6,0.0273
TB2Y0227,TreasuryBill,2025-02-09,2025-11-20,285,10,10,10,0.0351
TB2Y0325,TreasuryBill,2025-01-13,2025-05-02,110,2,2,2,0.0182
TB2Y0327,TreasuryBill,2025-09-15,2025-10-26,42,2,2,2,0.0476
